sequence,label
29 5 2 77 1846 45 999 12 100 147 41 3224 418 432 27 2998 35 24 203 15 11 7 568 49 581,1
4 375 112 349 13 13 2 1356 2978 7 53 1 53 1 1628 3 392 4 1 3 500 1 288 5 1869,1
10 199 11 14 4 375 98 6 1087 60 21 4 101 888 1429 2449 1189 8 2 934 1 773 3 147 4,1
661 219 4 238 116 4 112 457 4088 1177 219 4 989 8 25 3918 25 766 24 1026 32 2 1456 13 11,0
1 1 117 8 2 60 5 284 7 4 1969 1401 20 6 105 454 1 1441 171 4 4366 3158 43 376 4198,1
233 55 4027 482 18 4 66 5 1 4454 3 9290 6 4 3609 1065 19 30 22 5281 40 348 9 41 109,1
10 245 57 39 6 65 4 8252 5 4 58 1816 1 215 16 2 7713 35 26 635 9 57 692 145 2,1
11 119 14 34 475 1308 4121 306 8 2 169 52 9 89 3141 2 89 40 151 67 512 19 179 3392 125,0
8253 33 2 1175 759 43 11 20 21 138 10 14 266 959 6 147 11 20 84 1457 195 106 96 3 11,0
44 23 39 210 7488 7844 2367 23 78 39 11 18 44 23 24 183 40 172 91 23 78 117 11 18 529,1
4368 2 1142 7 29 5 143 2472 96 116 2 1171 7 447 189 2 1 5 263 240 71 738 1 13 31,0
10 212 11 18 52 10 14 43 52 9 354 46 10 2107 2 5595 129 14 2 193 3696 1943 331 1 1,0
38 141 22 4 193 328 5 1 163 19 91 176 22 104 24 10 495 25 18 1 270 141 2 62 29,0
2 180 247 1 13 2143 1 13 10 1088 12 11 7 258 6 692 2143 6 2 4860 19 135 2644 137 38,0
11 4 819 18 5 291 3826 36 410 821 29 5 2 148 7 760 5459 3 141 22 4 328 19 11 1787,1
239 5 1567 8 33 2 2688 133 62 6 885 11 14 29 5 2 87 2319 3 1397 1625 5 20 195 120,0
47 96 41 313 140 22 27 5531 11 7 29 5 95 8 3 5 397 9 7 22 4 84 20 19 9,1
11 18 92 9 80 29 5 55 399 87 373 94 498 13 13 48 282 4 8254 843 116 48 282 4 513,0
10 377 11 1 14 2 89 20 10 69 280 31 2 460 2 430 14 443 8 1288 10 14 53 4229 9,1
34 373 20 9 208 26 76 58 436 47 144 1 6 27 2010 17 2 1775 5184 1932 579 2 66 5 2,0
100 2 960 5 757 264 3 30 2282 30 56 828 64 12 8 2 169 4 1 5 757 264 21 4 94,1
10 69 2 372 6626 5 251 6 633 11 2420 8 30 1 13 32 10 26 6 131 7 562 121 60 3,0
49 34 390 1401 18 44 23 26 9291 6 491 105 9 23 466 2628 9 30 101 72 249 1 2429 2 18,1
89 5 32 617 75 4 168 179 805 138 4 10 222 34 2259 328 205 45 76 15 4 511 5 192 10,0
11 14 2 246 18 10 212 31 1 3 9 81 1914 2 225 1102 5 7968 3612 10 68 62 103 9 7,0
2 3416 3050 66 259 4 112 51 43 1793 3416 4531 1258 122 153 9 992 8 711 1766 2294 3 1 13 9097,1
2 2421 7 34 3760 965 4 1 1243 80 22 62 2 3698 339 5 4 1474 484 19 81 80 29 5 4,1
11 20 748 6 27 101 104 179 32 31 278 1 950 2002 363 2577 4570 752 216 238 1132 1 2 1052 271,0
11 18 14 38 4199 263 451 6346 3 10 14 442 2591 6 26 4 50 60 10 31 225 199 446 27 468,0
311 18 7 4 363 548 12 45 76 223 3 1 38 104 217 12 2300 396 1 115 3 2358 218 842 292,1
7846 3 1 3029 2465 1 7719 7 4 6813 792 755 34 2412 727 18 743 2 161 3 4945 5 2 1589 1,1
1 1 7 29 5 2 1949 20 120 92 8 1352 460 510 33 2 85 173 1 1 11 29 7 2 87,1
55 89 4816 6 2 1 22 4 50 29 10 14 2243 6 159 11 407 729 2 7847 37 7973 5284 408 61,0
29 5 2 87 2662 4031 37 2 426 20 7 9497 2321 142 33 2 1994 2 4371 1 1 6630 1 4 3145,1
10 280 11 20 22 64 1009 72 10 188 9 8 4 3323 5 96 32 5 61 67 178 372 8 63 202,0
10 1154 11 20 31 2577 17 79 9 2561 209 4 226 1 16 2 306 5 287 7495 189 4 5188 79 48,0
2 115 7 43 2 321 5 112 462 3807 7 2 29 36 45 6 3700 2 3555 300 2 18 9 716 12,0
120 280 4 18 12 433 2 115 73 11 152 54 64 26 29 6 873 5081 13 116 6 873 2 1 2059,0
781 38 11 215 239 5 290 2 5536 5 138 74 139 176 1355 8 1355 46 599 1 110 1503 46 25 1422,1
100 1189 142 11 2711 5 1 55 691 3 10 3511 695 9 14 155 2 2096 5 34 3033 6 65 695 4,0
9 69 32 2 1641 5 94 5 11 545 3 56 2230 2 115 405 1344 3 31 2 130 5 2 18 10,0
11 18 7 447 21 2 272 4 104 1 150 33 8908 1 3 9977 1166 5 1357 4198 200 1 3 8260 4,1
5 32 2 96 10 26 106 11 29 2 3733 45 188 6 27 29 5 2 246 248 2 453 2065 2432 1253,0
10 69 549 50 179 43 1626 5 1509 3 354 8 16 34 870 339 10 199 12 3075 1186 14 781 3 10,0
11 18 3410 347 17 70 107 10 377 2 169 3 55 365 803 8 4 3527 10 2630 44 10 880 264 101,1
15 4 1 195 106 2 18 217 8 2 234 151 3 10 62 41 212 2 676 11 1355 11 1458 70 6,1
1 7 34 3584 18 603 62 1794 1509 7 12 9 412 7254 7974 323 16 4 50 180 5 721 148 2 66,0
86 11 20 99 27 7975 15 461 10 26 56 306 44 10 67 304 5665 3 1260 1 10 57 27 258 6,0
5601 1 2 644 3 2 3009 14 4775 33 2 1069 17 780 1944 40 3256 151 356 2 538 169 52 9 1,1
841 3 1157 3956 2981 4740 61 769 30 126 177 84 33 1210 1570 19 1 33 30 1160 7616 3 47 320 2433,0
975 6 2 837 8262 7 29 5 143 352 6715 94 61 5603 7157 145 8 2 169 3 169 603 548 7 4776,1
1203 32 101 8 144 122 15 73 15 8 2 94 1049 66 12 522 6 104 183 331 36 24 262 8 4,1
5084 3644 1505 8 428 5 128 469 386 1 17 1 2261 8 2 169 3 2 3588 8911 7 29 5 2 124,1
10 556 260 10 495 11 15 72 15 10 114 2 8562 563 67 124 71 2938 19 2 1 66 3 30 828,1
2 7723 5 2 5085 1 12 126 1386 4419 4862 57 82 73 6 65 11 18 61 259 2 6548 5 2 680,0
15 287 45 458 999 21 11 1747 30 53 830 6 93 4 1197 659 9 3514 3284 2792 1562 4778 3192 3589 4,0
2 3088 26 497 1550 7 49 23 57 527 9 6 27 3 157 51 5 256 30 22 164 6 27 34 893,0
10 1394 32 2 98 142 11 4627 18 30 38 1397 4 252 857 42 691 100 104 151 5 1554 45 4 6191,0
56 3958 13 100 4201 1105 89 296 20 6720 447 664 1 1 5396 663 5 3617 869 3 3928 28 3703 6 47,1
10 41 280 2 1 11 2157 251 62 106 9 278 154 43 4 2599 151 8267 13 30 22 4 193 18 3,1
49 581 49 74 26 138 7 661 4 1160 3 4128 865 3 16 4 519 3 1024 180 19 1198 2 18 2050,0
195 41 280 1 3 141 4779 6 65 2 841 641 17 2 3647 13 22 62 14 2 115 14 830 6 867,0
38 617 1 13 2 18 397 7 15 210 15 1 94 57 605 1 13 55 3420 6 65 9 14 406 1,1
1328 107 348 2 133 67 8406 3 443 2 18 748 6 1990 47 239 5 1506 19 1455 1070 16 30 727 49,0
34 1 252 758 7374 3411 7725 204 2400 33 4 3035 134 1682 6193 28 1441 6 2205 42 46 5 4 288 5,0
88 1572 4 8749 7 29 5 6041 911 3 1112 8 1239 5 756 124 96 3 257 22 2 761 8268 12 2981,1
1 907 1 8270 298 1 7979 8737 7259 7726 2 2650 1 5 1 34 440 1 2285 8 529 2830 6 962 42,0
10 64 39 5039 1 38 10 14 64 672 52 10 106 11 18 9 152 26 72 5 4 115 3 49 35,0
141 22 245 135 2 1118 859 6 3525 21 2 403 5 4 655 1105 18 3107 79 2 407 3159 12 9 7,0
11 20 1 323 16 47 5 2 87 717 66 414 3 2013 102 120 106 2 786 504 1154 2 1 86 6,0
1 108 7 4 50 18 33 397 19 1056 6 2 210 9 175 6355 58 577 6355 7 4 498 6550 17 2831,0
1112 11 335 20 1621 2 9306 318 8 2 1 129 7 178 73 92 19 126 4538 194 266 6 2644 2 800,0
10 199 12 1 45 76 1681 439 30 22 41 43 732 219 1 5 1254 3422 12 10 103 1 14 258 6,1
10 222 22 4 5473 328 33 97 769 21 196 43 6042 2 18 624 16 4 129 8 2 538 169 172 94,1
664 800 9110 1 1520 5087 8 10 1464 4 85 616 8 2 1 1 5 2 1 548 10 161 959 6 4,0
9 489 6 27 2 1556 1217 5 2 1146 3 16 4 180 39 1 1 1435 913 3 1 4330 9 64 7,1
2 234 264 331 679 578 7502 34 9987 398 4 201 3926 2504 962 37 4 3619 1231 82 28 3 25 325 415,1
270 9 14 2 407 40 2 1523 406 22 2 2530 21 2 269 61 7 16 2 173 15 28 937 597 7980,0
2 168 133 12 155 571 4 2651 5 4376 1612 5088 4 1 457 1 1 7261 1 200 4823 1475 52 1 40,0
11 20 523 70 33 828 10 93 9 4 5734 5 1392 46 15 112 15 596 43 96 154 6358 79 4233 3,1
1682 1 7 4 1182 28 7 2 742 5 9750 147 11 18 160 70 227 939 19 30 4 85 18 22 550,1
2 66 7 43 4 4743 252 1 36 1497 6 42 7164 3 779 1 42 8563 1614 501 2 321 5 42 1614,0
452 553 10 208 26 106 11 52 10 14 62 40 4901 88 952 86 10 196 26 76 183 19 10 282 359,0
1975 823 2389 1 6 211 8 6554 5 4 1332 663 12 45 3516 4265 3 5668 6 25 122 32 447 189 2,0
74 768 11 20 15 4 993 17 4 444 3 99 5 76 250 246 993 6 285 2 20 7 1096 1677 3,0
11 14 233 2 246 18 10 26 120 106 8 55 122 9 14 359 48 14 56 115 3 2 307 5609 67,0
11 7 4 761 8564 663 349 8 12 108 83 36 26 1 47 425 5 1701 1820 6 75 295 450 2 3978,0
452 1 29 5 128 1296 5 2 875 1309 254 94 10 88 54 377 86 104 195 106 270 9 6274 19 22,0
5235 3059 7 831 2 669 507 1 852 1015 6 3963 6821 1 19 81 7 4 1 1 3 1063 6 1197 25,0
363 18 1378 7 2 1 29 8 2 426 190 9 62 708 4 694 625 6 6637 2145 16 2 166 172 642,0
185 1 45 76 8 250 3261 229 9 89 4331 8 1765 229 91 74 26 6275 2 269 3 4 3708 37 460,1
44 23 354 138 30 79 797 458 106 11 20 3 67 2166 49 381 69 6 131 43 572 13 10 227 17,0
7857 8755 9991 3812 3 2054 326 24 291 1297 485 8 11 2183 20 37 61 4037 7857 8755 6 20 1046 9 81,1
44 241 7 1451 135 56 29 160 94 39 35 318 6 16 2334 110 3 4 569 777 5 1643 2956 6 1,1
10 280 11 215 46 5 1 6 65 44 35 99 838 3 16 32 11 700 1 82 8922 919 1 352 1556,0
2279 8279 7 2 87 7732 301 1134 595 1 1 8 4 690 16 4 633 4429 2281 3287 8 8 2 403 5,1
55 470 57 27 11 14 1835 164 6 27 31 225 108 524 3 1300 31 225 4 7046 1126 79 868 86 68,0
73 10 39 6 105 84 191 5596 1065 10 103 30 209 6 65 2795 3 1 5 3262 6 1213 623 50 18,0
