Model,Activation,Optimizer,Seq Length,Grad Clipping,Accuracy,F1 Score,Epoch Time (s)
LSTM,relu,Adam,50,False,0.73688,0.7349268066906904,95.8
LSTM,relu,Adam,25,False,0.64216,0.6420898496105236,56.65
LSTM,relu,Adam,100,False,0.79708,0.7967567590228473,182.64
LSTM,relu,SGD,50,False,0.52196,0.44848432407487526,84.89
LSTM,relu,RMSprop,50,False,0.72716,0.7263078210840401,100.15
LSTM,tanh,Adam,50,False,0.71164,0.7116327908197706,100.26
LSTM,sigmoid,Adam,50,False,0.74792,0.7471155847905955,107.77
LSTM,relu,Adam,50,True,0.74452,0.7443037714047949,98.46
LSTM,tanh,Adam,25,False,0.6768,0.6767716820963599,57.05
LSTM,sigmoid,Adam,100,False,0.80804,0.807565817234195,181.41
LSTM,relu,RMSprop,25,False,0.67816,0.6771562213551381,60.16
LSTM,relu,RMSprop,100,False,0.80264,0.8025097626140769,173.43
LSTM,tanh,RMSprop,50,False,0.70408,0.7000663288839988,101.14
LSTM,relu,SGD,25,False,0.51852,0.43444683880064505,46.88
LSTM,relu,SGD,100,False,0.51212,0.43401563456241304,171.63
LSTM,tanh,SGD,50,False,0.51208,0.4222460407872962,87.79
LSTM,relu,Adam,50,True,0.7402,0.7399153929516576,99.72
LSTM,relu,Adam,100,True,0.80532,0.8050343053816792,183.17
LSTM,tanh,RMSprop,100,True,0.81388,0.8132138311634256,204.6
LSTM,relu,SGD,50,True,0.52152,0.4609206459399701,88.12
RNN,relu,Adam,50,False,0.6968,0.6966776985067753,57.61
RNN,relu,Adam,25,False,0.6714,0.6708025857004257,51.29
RNN,relu,Adam,100,False,0.61236,0.6120479742203665,97.19
RNN,tanh,Adam,50,False,0.62948,0.6292811517481491,53.58
RNN,sigmoid,Adam,50,False,0.64476,0.6446433241790583,60.4
RNN,relu,SGD,50,False,0.63236,0.6313830950171366,40.61
RNN,relu,RMSprop,50,False,0.70648,0.7064670582500114,48.67
RNN,tanh,RMSprop,50,False,0.6774,0.6763484561339793,48.92
RNN,relu,Adam,50,True,0.69512,0.6950712816606424,52.28
RNN,tanh,Adam,25,False,0.65224,0.6522035308969614,33.55
RNN,sigmoid,Adam,100,False,0.63792,0.636226014555036,90.9
BiLSTM,relu,Adam,50,False,0.73944,0.7394397982221798,150.69
BiLSTM,tanh,Adam,50,False,0.7356,0.7353743696024979,157.66
BiLSTM,sigmoid,Adam,50,False,0.74408,0.7437004946569237,156.4
BiLSTM,relu,RMSprop,50,False,0.709,0.7084386118423016,158.33
BiLSTM,relu,SGD,50,False,0.53116,0.4620083931978318,141.97
BiLSTM,tanh,RMSprop,50,False,0.72352,0.7235134156378854,153.59
BiLSTM,tanh,Adam,25,False,0.68188,0.6817521911707777,90.21
BiLSTM,tanh,Adam,100,False,0.81184,0.811753468038966,288.52
BiLSTM,relu,Adam,100,False,0.79936,0.7992860087942819,304.52
BiLSTM,relu,Adam,25,False,0.67592,0.675587801909155,83.95
BiLSTM,relu,Adam,50,True,0.7478,0.747640249817725,147.13
BiLSTM,tanh,Adam,50,True,0.73968,0.7396670974848187,174.29
BiLSTM,sigmoid,Adam,50,True,0.74436,0.7441436359868552,173.12
BiLSTM,relu,RMSprop,25,False,0.66544,0.6630671278757221,87.5
BiLSTM,relu,RMSprop,100,False,0.78972,0.788125154987638,292.18
BiLSTM,tanh,RMSprop,100,True,0.78964,0.7891337100378009,298.45
BiLSTM,relu,SGD,25,False,0.53708,0.4726408256740242,67.83
BiLSTM,relu,SGD,100,False,0.51524,0.4395568940633192,259.87
BiLSTM,tanh,SGD,50,True,0.51912,0.41853220868014807,131.39
